scientific_name,park_name,observations
Hackelia mundula,Redwood,116
Phlox diffusa,Redwood,112
Elodea canadensis,Yosemite,182
Prenanthes trifoliolata,Great Smoky Mountains,71
Viola porterana,Yosemite,140
Yabea microcarpa,Yosemite,155
Viola sagittata,Yellowstone,271
Rana luteiventris,Yellowstone,238
Poa glauca ssp. rupicola,Yellowstone,233
Calamagrostis canadensis,Great Smoky Mountains,82
Wyethia angustifolia,Great Smoky Mountains,55
Geranium robertianum,Great Smoky Mountains,86
Pohlia wahlenbergii,Redwood,67
Rosa wichuraiana,Redwood,77
Etheostoma rufilineatum,Redwood,97
Lewisia nevadensis,Great Smoky Mountains,43
Mimulus bolanderi,Redwood,82
Pseudoroegneria spicata,Great Smoky Mountains,79
Eurycea,Yosemite,147
Seiurus motacilla,Great Smoky Mountains,54
Grus americana,Redwood,24
Carex scabrata,Redwood,102
Primula incana,Yellowstone,240
Heterodon platirhinos,Yosemite,127
Clematis dioica,Redwood,67
Vireo solitarius,Yellowstone,233
Esox masquinongy,Yosemite,139
Melanerpes carolinus,Redwood,105
Plagiomnium rostratum,Redwood,100
Melilotus indica,Great Smoky Mountains,68
Cygnus cygnus,Yosemite,114
Spizella passerina,Yosemite,140
Phlox glaberrima ssp. triflora,Redwood,119
Salix reticulata ssp. nivalis,Yellowstone,240
Hygrohypnum micans,Yellowstone,269
Cardamine bulbosa,Great Smoky Mountains,64
Nemophila breviflora,Yosemite,151
Apometzgeria pubescens,Yellowstone,272
Gilia capillaris,Redwood,105
Typha latifolia,Yosemite,162
Aira caryophyllea,Great Smoky Mountains,64
Digitaria sanguinalis,Yellowstone,261
Amsinckia lycopsoides,Great Smoky Mountains,74
Rubus suus,Great Smoky Mountains,76
Symphyotrichum shortii,Yellowstone,256
Aristida purpurascens,Great Smoky Mountains,48
Epilobium ciliatum,Redwood,79
Carya carolinae-septentrionalis,Great Smoky Mountains,55
Luzula bulbosa,Redwood,82
Lomatium ambiguum,Yellowstone,256
Rhizomnium punctatum,Great Smoky Mountains,76
Symphyotrichum laeve var. laeve,Redwood,77
Eleocharis tenuis var. verrucosa,Redwood,108
Pylaisiella intricata,Yosemite,122
Rosa multiflora,Yellowstone,276
Hybanthus concolor,Yosemite,175
Juncus occidentalis,Yosemite,109
Entodon sullivantii,Redwood,85
Cichorium intybus,Great Smoky Mountains,100
Rorippa palustris ssp. fernaldiana,Yosemite,137
Cymophyllus fraserianus,Redwood,144
Carex albicans,Yosemite,148
Salix farriae,Yellowstone,266
Nassella viridula,Great Smoky Mountains,127
Anaphalis margaritacea,Yosemite,133
Rhododendron carolinianum,Redwood,83
Melissa officinalis,Redwood,99
Chenopodium leptophyllum,Great Smoky Mountains,32
Calochortus eurycarpus,Redwood,107
Podophyllum peltatum,Redwood,81
Hylocichla mustelina,Redwood,111
Brachydontium trichodes,Yellowstone,233
Carex kraliana,Yellowstone,227
Cirriphyllum piliferum,Yosemite,148
Aristida purpurea var. longiseta,Yellowstone,284
Bos bison,Redwood,68
Verbena brasiliensis,Redwood,116
Dioscorea oppositifolia,Yosemite,161
Eurycea,Redwood,81
Hedwigia ciliata,Yellowstone,265
Leucodon julaceus,Yosemite,180
Wyethia amplexicaulis,Yosemite,163
Dodecatheon subalpinum,Great Smoky Mountains,71
Scirpus tabernaemontani,Yellowstone,240
Salix brachycarpa ssp. brachycarpa,Redwood,103
Prunus avium,Yellowstone,276
Catostomus platyrhynchus,Yosemite,143
Mephitis mephitis,Redwood,113
Platygyrium repens,Yellowstone,224
Elodea canadensis,Yellowstone,222
Penthorum sedoides,Redwood,105
Eragrostis frankii,Redwood,107
Iris hartwegii ssp. hartwegii,Redwood,113
Ranunculus flammula var. reptans,Redwood,91
Artemisia tridentata ssp. tridentata,Redwood,93
Aralia nudicaulis,Yosemite,171
Mirabilis linearis,Yosemite,139
Penstemon heterodoxus,Redwood,94
Campanulastrum americanum,Great Smoky Mountains,35
Calamagrostis stricta,Yellowstone,241
Castor canadensis,Redwood,105
Chorizanthe membranacea,Redwood,136
Paronychia fastigiata,Redwood,91
Geum rossii var. turbinatum,Yellowstone,241
Procyon lotor,Great Smoky Mountains,63
Epilobium densiflorum,Yellowstone,260
Ribes nevadense,Yosemite,131
Plagiomnium carolinianum,Yellowstone,234
Trifolium wormskioldii,Yosemite,166
Smilax rotundifolia,Yellowstone,267
Podophyllum peltatum,Yosemite,154
Eriogonum ovalifolium var. nivale,Yellowstone,262
Carex appalachica,Yellowstone,218
Capsella bursa-pastoris,Yosemite,138
Oporornis formosus,Yellowstone,278
Dryopteris campyloptera,Yellowstone,244
Sorex lyelli,Redwood,104
Senecio integerrimus var. major,Great Smoky Mountains,74
Filipendula rubra,Yosemite,145
Castilleja minor ssp. spiralis,Yosemite,154
Campylopus pilifer,Yellowstone,240
Carex leptalea,Yellowstone,251
Anas acuta,Great Smoky Mountains,61
Brachyelytrum septentrionale,Great Smoky Mountains,91
Berteroa incana,Yellowstone,242
Scutellaria integrifolia,Yellowstone,216
Tringa flavipes,Redwood,102
Phyla lanceolata,Great Smoky Mountains,73
Carex incurviformis var. danaensis,Great Smoky Mountains,81
Delphinium gracilentum,Yosemite,159
Rosa californica,Yellowstone,285
Poa alsodes,Redwood,104
Atriplex hortensis,Great Smoky Mountains,93
Lepidium virginicum var. pubescens,Yellowstone,232
Eriogonum umbellatum var. umbellatum,Redwood,81
Phacelia bipinnatifida,Yellowstone,240
Gymnogyps californianus,Yosemite,47
Setaria pumila,Great Smoky Mountains,82
Galeopsis ladanum,Redwood,122
Barbarea verna,Great Smoky Mountains,91
Ranunculus acris,Yellowstone,263
Tradescantia subaspera var. montana,Redwood,106
Eriogonum prattenianum var. avium,Yosemite,161
Microsteris gracilis var. humilior,Yellowstone,222
Sorex preblei,Redwood,71
Silene latifolia ssp. alba,Yellowstone,273
Calochortus venustus,Redwood,78
Microsteris gracilis var. humilior,Yosemite,129
Nemacladus interior,Yellowstone,230
Prunus persica,Yosemite,127
Penstemon laevigatus,Great Smoky Mountains,49
Cryptotis parva,Yosemite,152
Lindernia dubia var. anagallidea,Great Smoky Mountains,70
Plethodon oconaluftee,Yellowstone,200
Phacelia dubia var. dubia,Yosemite,138
Centaurium venustum,Redwood,107
Draba breweri,Redwood,100
Piperia unalascensis,Yellowstone,233
Philonotis fontana var. pumila,Redwood,107
Helianthus giganteus,Great Smoky Mountains,68
Sibara virginica,Yosemite,142
Heracleum lanatum,Great Smoky Mountains,96
Lonicera conjugialis,Redwood,119
Trifolium haydenii,Redwood,100
Lomatium cous,Redwood,98
Potentilla diversifolia var. perdissecta,Redwood,74
Prunella vulgaris,Redwood,88
Eriogonum flavum var. flavum,Yellowstone,280
Geum vernum,Yellowstone,228
Salix nigra,Yosemite,159
Spea bombifrons,Yosemite,147
Solidago puberula,Redwood,63
Mycteria americana,Yosemite,175
Dodecatheon pulchellum var. pulchellum,Yellowstone,254
Luzula acuminata var. acuminata,Great Smoky Mountains,77
Quercus bicolor,Redwood,96
Rosa arkansana,Yellowstone,277
Rana sylvatica,Yellowstone,264
Uvularia grandiflora,Great Smoky Mountains,81
Zizia aptera,Redwood,112
Myotis leibii,Great Smoky Mountains,49
Synaptomys cooperi stonei,Yellowstone,236
Agrostis gigantea,Yosemite,148
Danthonia spicata,Redwood,82
Moxostoma erythrurum,Yellowstone,246
Ericameria nauseosa var. oreophila,Yellowstone,279
Physaria acutifolia var. acutifolia,Yosemite,174
Pseudostellaria jamesiana,Yosemite,125
Salix reticulata ssp. nivalis,Great Smoky Mountains,110
Glyceria grandis,Great Smoky Mountains,85
Polygonum douglasii ssp. johnstonii,Redwood,74
Selaginella watsonii,Yellowstone,239
Narcissus poeticus,Great Smoky Mountains,92
Racomitrium microcarpon,Yosemite,165
Eurycea lucifuga,Great Smoky Mountains,58
Seiurus aurocapillus,Yellowstone,270
Tipularia discolor,Yosemite,152
Ribes cereum var. pedicellare,Yosemite,179
Polypodium virginianum,Great Smoky Mountains,88
Aesculus sylvatica,Great Smoky Mountains,69
Ribes cynosbati,Redwood,64
Eleocharis quadrangulata,Yosemite,169
Robinia hispida var. kelseyi,Redwood,136
Rhamnus rubra,Great Smoky Mountains,88
Artemisia biennis var. biennis,Yellowstone,252
Antennaria parvifolia,Great Smoky Mountains,68
Medeola virginiana,Great Smoky Mountains,66
Thamnophis couchii,Yosemite,187
Vireo olivaceus,Great Smoky Mountains,72
Antennaria rosea ssp. confinis,Great Smoky Mountains,43
Amaranthus californicus,Yellowstone,274
Bucephala albeola,Redwood,87
Trisetum wolfii,Yellowstone,265
Cirsium altissimum,Yellowstone,263
Penstemon heterodoxus var. heterodoxus,Yellowstone,236
Panicum rigidulum,Yosemite,119
Valerianella radiata,Yellowstone,267
Funaria flavicans,Yosemite,147
Solidago gigantea,Redwood,116
Ericameria discoidea,Great Smoky Mountains,71
Fraxinus quadrangulata,Yosemite,146
Catherpes mexicanus,Yellowstone,229
Gentianopsis holopetala,Yellowstone,254
Barbula unguiculata,Redwood,113
Stellaria nitens,Great Smoky Mountains,55
Sida spinosa,Redwood,84
Bison bison,Yosemite,192
Spilogale putorius,Yosemite,141
Mertensia alpina,Great Smoky Mountains,87
Thamnophis sirtalis sirtalis,Yellowstone,260
Betula pendula,Yosemite,131
Juncus interior,Great Smoky Mountains,87
Bromus inermis,Great Smoky Mountains,86
Lycopodium annotinum,Redwood,99
Angelica venenosa,Redwood,97
Ammannia coccinea,Great Smoky Mountains,76
Lobelia spicata var. leptostachys,Redwood,94
Symphoricarpos occidentalis,Redwood,104
Cyperus iria,Yosemite,109
Gratiola viscidula,Yosemite,175
Carex trichocarpa,Redwood,107
Racomitrium aciculare,Yellowstone,234
Paronychia canadensis,Yellowstone,254
Chenopodium pratericola,Redwood,56
Ctenidium malacodes,Yosemite,149
Carex scopulorum,Yosemite,140
Monolopia major,Great Smoky Mountains,101
Menyanthes trifoliata,Yellowstone,287
Heliopsis helianthoides,Yellowstone,217
Muhlenbergia filiformis,Yellowstone,268
Caracara cheriway,Yosemite,180
Eriogonum cernuum var. cernuum,Redwood,108
Mertensia ciliata,Yellowstone,252
Aralia californica,Yellowstone,241
Elymus glaucus ssp. jepsonii,Great Smoky Mountains,95
Silene bridgesii,Yellowstone,227
Cratoneuron filicinum,Redwood,96
Vermivora bachmanii,Yosemite,45
Boehmeria cylindrica,Great Smoky Mountains,125
Sterna paradisaea,Great Smoky Mountains,72
Lonicera canadensis,Yosemite,123
Eumeces anthracinus,Yosemite,159
Hieracium scabrum,Redwood,91
Elanus leucurus,Yellowstone,214
Vitis californica,Great Smoky Mountains,54
Plagiobothrys torreyi var. torreyi,Yellowstone,231
Limosella aquatica,Yellowstone,251
Helianthemum propinquum,Redwood,114
Lomatium dissectum var. dissectum,Yellowstone,236
Catostomus occidentalis,Yellowstone,275
Aristolochia serpentaria,Yosemite,160
Hymenocallis caroliniana,Great Smoky Mountains,42
Hesperochiron californicus,Redwood,109
Actitis macularia,Yellowstone,265
Draba oligosperma,Yellowstone,234
Anagallis arvensis,Yosemite,156
Cyprinella venustus,Great Smoky Mountains,67
Entodon seductrix,Yosemite,165
Carex lupulina,Yosemite,144
Potentilla canadensis,Great Smoky Mountains,72
Mentzelia albicaulis,Great Smoky Mountains,105
Chorizanthe membranacea,Great Smoky Mountains,41
Butorides virescens,Yosemite,157
Rhododendron canescens,Great Smoky Mountains,111
Spiraea vanhouttei,Redwood,108
Draba paysonii var. treleasii,Yellowstone,247
Notropis rubricroceus,Yosemite,163
Botrychium jenmanii,Yosemite,131
Milium effusum,Yosemite,142
Plantago erecta,Great Smoky Mountains,84
Stuckenia vaginata,Great Smoky Mountains,44
Veronica persica,Great Smoky Mountains,116
Plethodon aureolus,Great Smoky Mountains,69
Eleocharis parishii,Redwood,87
Leucanthemum vulgare,Yellowstone,242
Tilia americana var. heterophylla,Great Smoky Mountains,55
Ammodramus henslowii,Yosemite,149
Quercus kelloggii,Yosemite,130
Ranunculus hispidus var. hispidus,Yosemite,171
Adenocaulon bicolor,Great Smoky Mountains,97
Archilochus alexandri,Yosemite,129
Symphyotrichum cordifolium,Redwood,95
Polygonum sagittatum,Yosemite,138
Angelica triquinata,Yosemite,145
Iris pseudacorus,Redwood,86
Crassula solierii,Yellowstone,249
Fraxinus latifolia,Redwood,81
Navarretia divaricata ssp. vividior,Great Smoky Mountains,110
Panax quinquefolius,Yellowstone,259
Centaurea diffusa,Yosemite,141
Rhizomnium magnifolium,Yosemite,187
Diphyscium cumberlandianum,Great Smoky Mountains,51
Storeria dekayi dekayi,Yosemite,121
Alopecurus pratensis,Yosemite,149
Schoenoplectus acutus var. occidentalis,Yosemite,116
Desmodium nudiflorum,Great Smoky Mountains,98
Agoseris lackschewitzii,Redwood,94
Clasmatodon parvulus,Yosemite,167
Allium obtusum var. conspicuum,Redwood,113
Veronica persica,Redwood,101
Sphagnum capillifolium,Redwood,109
Cynodon dactylon,Yosemite,184
Psilocarphus oregonus,Yellowstone,232
Stellaria longifolia,Redwood,127
Salix jepsonii,Yosemite,191
Calandrinia ciliata,Yellowstone,240
Hedysarum alpinum var. americanum,Redwood,78
Sphagnum affine,Great Smoky Mountains,108
Mergus serrator,Yellowstone,284
Anastrophyllum minutum,Great Smoky Mountains,97
Atriplex canescens var. canescens,Yellowstone,241
Spinus lawrencei,Yosemite,170
Dicranodontium asperulum,Yosemite,163
Diphyscium cumberlandianum,Redwood,93
Fundulus catenatus,Redwood,87
Cucurbita pepo,Yellowstone,247
Glyceria borealis,Yosemite,174
Arabis repanda var. repanda,Redwood,89
Hylocomiastrum umbratum,Yosemite,149
Ambrosia trifida,Yosemite,123
Vinca major,Yellowstone,248
Centrosema virginianum,Yellowstone,235
Anas platyrhynchos,Yosemite,161
Crepis modocensis,Yellowstone,189
Melospiza lincolnii,Redwood,80
Vulpia microstachys var. pauciflora,Yellowstone,228
Carex plantaginea,Great Smoky Mountains,102
Polygonum hydropiperoides,Great Smoky Mountains,38
Calamagrostis coarctata,Redwood,110
Chamomilla suaveolens,Yosemite,171
Arabis hirsuta var. pycnocarpa,Great Smoky Mountains,92
Erigeron caespitosus,Redwood,93
Lepidium virginicum var. pubescens,Redwood,124
Cryptantha glomeriflora,Redwood,77
Trifolium oliganthum,Redwood,86
Pinus,Yellowstone,248
Cynosurus echinatus,Yellowstone,246
Setophaga coronata,Yosemite,161
Melica imperfecta,Great Smoky Mountains,80
Acalypha gracilens,Great Smoky Mountains,98
Viola adunca,Yosemite,136
Lactuca floridana,Yellowstone,266
Ranunculus eschscholtzii var. eschscholtzii,Redwood,82
Maianthemum stellatum,Yellowstone,286
Woodsia obtusa,Yosemite,143
Clemmys muhlenbergii,Great Smoky Mountains,108
Loxia curvirostra,Great Smoky Mountains,47
Cacalia muhlenbergii,Great Smoky Mountains,115
Chimaphila maculata,Yellowstone,243
Zonotrichia leucophrys gambelii,Great Smoky Mountains,87
Solidago multiradiata,Great Smoky Mountains,69
Balsamorhiza deltoidea,Redwood,133
Bryhnia novae-angliae,Yellowstone,237
Castilleja foliolosa,Yellowstone,277
Pseudognaphalium obtusifolium ssp. obtusifolium,Great Smoky Mountains,80
Phenacobius catostomus,Yosemite,165
Vicia villosa ssp. varia,Yellowstone,236
Cyperus lancastriensis,Redwood,79
Lanius excubitor,Yosemite,133
Aquila chrysaetos,Great Smoky Mountains,65
Viola canadensis var. corymbosa,Great Smoky Mountains,75
Scolochloa festucacea,Yosemite,155
Polygonatum pubescens,Yosemite,160
Penstemon whippleanus,Yosemite,167
Andropogon virginicus,Yellowstone,224
Cryptotis parva,Yellowstone,277
Epilobium latifolium,Redwood,101
Campylium hispidulum,Great Smoky Mountains,88
Astragalus whitneyi var. whitneyi,Great Smoky Mountains,61
Aphanes microcarpa,Yosemite,166
Carex intumescens,Yellowstone,282
Lilium washingtonianum ssp. washingtonianum,Yellowstone,231
Lampropeltis triangulum elapsoides,Redwood,115
Polygonum douglasii var. douglasii,Yosemite,130
Empidonax virescens,Redwood,96
Nuttallanthus canadensis,Redwood,103
Panicum flexile,Redwood,99
Tradescantia subaspera var. montana,Great Smoky Mountains,60
Spizella arborea,Redwood,78
Rhododendron canescens,Redwood,82
Sedum acre,Yosemite,125
Spiranthes romanzoffiana,Yosemite,145
Eriogonum incanum,Yellowstone,265
Viola arvensis,Yosemite,144
Carex atherodes,Yosemite,142
Carya carolinae-septentrionalis,Yellowstone,259
Cryptantha hispidula,Yellowstone,247
Cardamine hirsuta,Redwood,107
Artemisia michauxiana,Yosemite,150
Dactylis glomerata,Yellowstone,263
Juncus compressus,Yosemite,177
Cyperus eragrostis,Yellowstone,259
Podilymbus podiceps,Yosemite,143
Polygonum hydropiper,Great Smoky Mountains,35
Avena sativa,Yosemite,161
Trichophorum caespitosum,Great Smoky Mountains,111
Etheostoma blennioides,Yellowstone,222
Cichorium intybus,Yellowstone,266
Viburnum prunifolium,Great Smoky Mountains,94
Lepidium perfoliatum,Yellowstone,261
Microtus montanus,Yellowstone,226
Empidonax virescens,Great Smoky Mountains,70
Polymnia canadensis,Redwood,81
Arabidopsis thaliana,Redwood,93
Ampelopsis arborea,Redwood,88
Setophaga palmarum,Yellowstone,236
Nemophila pedunculata,Yellowstone,234
Rudbeckia triloba,Redwood,95
Etheostoma zonale,Great Smoky Mountains,73
Salix caroliniana,Yosemite,141
Calycadenia mollis,Great Smoky Mountains,55
Vulpia microstachys var. confusa,Redwood,92
Sylvilagus transitionalis,Yellowstone,206
Carex debilis var. debilis,Great Smoky Mountains,90
Corallorrhiza maculata,Yosemite,112
Clematis virginiana,Redwood,122
Nemophila maculata,Great Smoky Mountains,83
Erigeron linearis,Yellowstone,278
Viola arvensis,Yosemite,164
Grimmia pilifera,Great Smoky Mountains,52
Carex trichocarpa,Yosemite,113
Oreortyx pictus,Yellowstone,242
Kickxia elatine,Yellowstone,229
Pyrularia pubera,Yellowstone,251
Arrhenatherum elatius var. elatius,Great Smoky Mountains,58
Clarkia rhomboidea,Yosemite,173
Polygonum persicaria,Redwood,70
Desmodium ciliare,Yellowstone,265
Potamogeton foliosus ssp. fibrillosus,Redwood,102
Eriogonum roseum,Yosemite,138
Parthenocissus quinquefolia,Yellowstone,269
Polygonum amphibium var. emersum,Yellowstone,247
Hydrocotyle americana,Yosemite,167
Hosta lancifolia,Yosemite,144
Panicum gattingeri,Redwood,82
Cinna latifolia,Yellowstone,244
Aster occidentalis var. yosemitanus,Yellowstone,258
Sorex palustris,Yellowstone,234
Chenopodium album var. missouriense,Yellowstone,232
Aristida oligantha,Great Smoky Mountains,115
Astragalus vexilliflexus var. vexilliflexus,Great Smoky Mountains,53
Arabis lyrata,Yosemite,133
Decumaria barbara,Redwood,82
Haemorhous purpureus,Great Smoky Mountains,74
Aruncus dioicus,Yosemite,171
Strix nebulosa,Yellowstone,251
Tachycineta bicolor,Yosemite,125
Acalypha gracilens,Yellowstone,263
Populus X canescens,Redwood,57
Poa pratensis ssp. pratensis,Redwood,101
Anagallis arvensis,Yellowstone,251
Disporum hookeri,Redwood,92
Viola rotundifolia,Yellowstone,224
Galium tinctorium,Redwood,119
Panicum miliaceum,Redwood,89
Paspalum pubiflorum var. glabrum,Yellowstone,225
Sporobolus cryptandrus,Redwood,117
Pterostegia drymarioides,Yosemite,136
Ambystoma mavortium melanostictum,Great Smoky Mountains,79
Juncus diffusissimus,Yosemite,167
Elymus trachycaulus ssp. subsecundus,Redwood,129
Decumaria barbara,Yosemite,153
Orobanche uniflora,Yellowstone,263
Symphyotrichum retroflexum,Redwood,87
Silene vulgaris,Yosemite,181
Passiflora incarnata,Redwood,119
Urocyon cinereoargenteus,Great Smoky Mountains,71
Danthonia spicata,Redwood,97
Lyonia ligustrina,Yellowstone,285
Symphyotrichum eatonii,Redwood,104
Dodecatheon pulchellum var. pulchellum,Redwood,98
Riparia riparia,Yellowstone,226
Campostoma anomalum,Great Smoky Mountains,60
Micropterus salmoides,Yellowstone,240
Alnus incana ssp. tenuifolia,Redwood,115
Cardamine clematitis,Redwood,108
Vicia cracca ssp. cracca,Great Smoky Mountains,91
Eurybia divaricata,Redwood,90
Euphorbia mercurialina,Great Smoky Mountains,90
Eupatorium rotundifolium var. ovatum,Yellowstone,279
Silene drummondii var. drummondii,Great Smoky Mountains,59
Pyrus communis,Great Smoky Mountains,57
Carex projecta,Yosemite,112
Passerella iliaca,Yellowstone,278
Agrimonia pubescens,Great Smoky Mountains,93
Hieracium aurantiacum,Yosemite,184
Cryphaea nervosa,Yosemite,169
Heterocladium macounii,Redwood,102
Aster retroflexus,Redwood,102
Ranunculus gmelinii,Great Smoky Mountains,77
Epilobium halleanum,Yellowstone,263
Juncus coriaceus,Yellowstone,266
Bryum lisae,Great Smoky Mountains,72
Phacelia heterophylla ssp. virgata,Yellowstone,264
Krigia caespitosa,Redwood,110
Dorosoma cepedianum,Yellowstone,267
Agrimonia parviflora,Great Smoky Mountains,78
Bulbostylis capillaris,Great Smoky Mountains,72
Cerastium glomeratum,Yosemite,132
Aesculus glabra,Yosemite,163
Chenopodium ambrosioides,Yellowstone,285
Carex texensis,Redwood,75
Populus grandidentata,Yosemite,143
Vitis californica,Yosemite,164
Centrocercus urophasianus,Redwood,100
Ampelopsis arborea,Yosemite,152
Juncus interior,Redwood,97
Lupinus andersonii,Yosemite,168
Prunella vulgaris,Redwood,119
Sambucus racemosa var. racemosa,Redwood,142
Cerastium glomeratum,Great Smoky Mountains,57
Silene vulgaris,Yellowstone,227
Saponaria officinalis,Yosemite,110
Piperia colemanii,Yellowstone,226
Hydrastis canadensis,Redwood,111
Lycopus asper,Redwood,101
Eragrostis hirsuta,Great Smoky Mountains,84
Sphenopholis intermedia,Yellowstone,266
Vulpia octoflora,Great Smoky Mountains,104
Sibbaldiopsis tridentata,Yosemite,158
Seiurus noveboracensis,Yosemite,152
Elaphe obsoleta obsoleta,Yellowstone,232
Allium brevistylum,Yosemite,168
Euphorbia dentata var. dentata,Great Smoky Mountains,41
Aimophila ruficeps,Great Smoky Mountains,51
Eptesicus fuscus,Great Smoky Mountains,87
Galium bifolium,Yosemite,159
Heterotheca camporum,Yellowstone,239
Polygonatum pubescens,Yellowstone,248
Hydromantes platycephalus,Yellowstone,189
Alyssum alyssoides,Yosemite,130
Calidris alpina,Great Smoky Mountains,56
Tantilla coronata,Yosemite,123
Sylvilagus audubonii,Redwood,69
Astragalus canadensis,Redwood,87
Zigadenus exaltatus,Redwood,106
Ionactis linariifolius,Redwood,91
Hazardia whitneyi var. whitneyi,Great Smoky Mountains,87
Vinca major,Yosemite,141
Hackelia mundula,Yellowstone,255
Collinsia torreyi var. wrightii,Yosemite,177
Carex densa,Yosemite,137
Picoides pubescens,Yosemite,144
Martes americana,Yosemite,140
Digitaria ischaemum,Great Smoky Mountains,23
Lysimachia nummularia,Redwood,71
Eriogonum nudum var. deductum,Great Smoky Mountains,62
Dendroica magnolia,Great Smoky Mountains,80
Passiflora incarnata,Yellowstone,289
Oxalis corniculata,Great Smoky Mountains,91
Hypnum pallescens,Great Smoky Mountains,96
Helianthus microcephalus,Yosemite,127
Vaccinium angustifolium,Yosemite,164
Iris laevigata,Redwood,81
Erigeron algidus,Redwood,91
Zizia aptera,Yosemite,129
Lactuca hirsuta,Yellowstone,249
Malacothrix floccifera,Great Smoky Mountains,66
Leersia virginica,Redwood,93
Vitis labrusca,Redwood,102
Coccothraustes vespertinus,Great Smoky Mountains,63
Atrichum crispum,Redwood,138
Lycopodium clavatum,Redwood,90
Lepomis megalotis,Yellowstone,270
Erigeron annuus,Redwood,91
Mimulus rubellus,Great Smoky Mountains,102
Thomomys monticola,Yellowstone,234
Juncus saximontanus,Redwood,128
Hordeum murinum ssp. glaucum,Yellowstone,273
Potentilla pseudosericea,Great Smoky Mountains,83
Phlox drummondii,Redwood,122
Onopordum acanthium,Yellowstone,238
Polygala senega var. latifolia,Yosemite,110
Juncus coriaceus,Great Smoky Mountains,82
Thalictrum pubescens,Redwood,158
Carex trisperma,Redwood,104
Allium textile,Redwood,105
Cyprinella venusta,Yellowstone,214
Lepidium densiflorum,Great Smoky Mountains,85
Galium lanceolatum,Yosemite,149
Erigeron formosissimus var. viscidus,Yosemite,121
Ruellia humilis,Yosemite,145
Ranunculus hispidus var. hispidus,Yellowstone,216
Antennaria rosea,Redwood,109
Amaranthus retroflexus,Great Smoky Mountains,21
Atriplex canescens var. canescens,Yosemite,138
Mimulus breweri,Great Smoky Mountains,64
Amianthium muscitoxicum,Yosemite,120
Eleocharis acicularis,Yosemite,170
Epilobium oreganum,Yellowstone,212
Lemna valdiviana,Redwood,85
Nothocalais nigrescens,Yellowstone,259
Ursus arctos horribilis,Great Smoky Mountains,50
Potentilla biennis,Great Smoky Mountains,58
Lycopodiella inundata,Redwood,104
Brachydontium trichodes,Great Smoky Mountains,59
Forsythia viridissima,Great Smoky Mountains,94
Myosotis macrosperma,Great Smoky Mountains,60
Cornus amomum,Yosemite,192
Fraxinus latifolia,Great Smoky Mountains,79
Salix cascadensis,Yosemite,143
Myotis austroriparius,Yosemite,116
Ranunculus alismifolius var. davisii,Redwood,71
Centaurea diffusa,Great Smoky Mountains,104
Arisaema triphyllum ssp. triphyllum,Yosemite,132
Cyperus rivularis,Yellowstone,232
Achnatherum lettermanii,Yosemite,129
Carex eburnea,Yosemite,152
Sus scrofa,Yellowstone,212
Datura stramonium,Redwood,94
Setaria pumila,Redwood,85
Penstemon laevigatus,Yosemite,160
Epilobium brachycarpum,Great Smoky Mountains,57
Triteleia laxa,Yosemite,126
Hexalectris spicata,Yosemite,127
Galium pilosum var. pilosum,Redwood,127
Dichanthelium clandestinum,Yellowstone,249
Rattus rattus,Redwood,85
Juncus brevicaudatus,Redwood,102
Crepis capillaris,Yellowstone,235
Vaccinium cespitosum,Redwood,111
Eupatorium serotinum,Great Smoky Mountains,78
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Great Smoky Mountains,59
Epilobium howellii,Redwood,85
Lepomis humilis,Yosemite,133
Eupatorium sessilifolium,Redwood,89
Muhlenbergia mexicana,Redwood,97
Panax trifolius,Yosemite,96
Clethrionomys gapperi gapperi,Great Smoky Mountains,98
Ambloplites rupestris,Redwood,95
Allium tricoccum,Yosemite,184
Carex flaccosperma,Yellowstone,229
Melothria pendula,Redwood,97
Marah fabaceus,Yellowstone,276
Carya laciniosa,Yellowstone,221
Ranunculus muricatus,Yosemite,128
Arabis lemmonii var. depauperata,Redwood,102
Lindernia dubia var. dubia,Yellowstone,243
Stephanomeria lactucina,Yosemite,144
Juncus ensifolius,Redwood,107
Populus angustifolia,Redwood,96
Juncus hemiendytus var. abjectus,Yosemite,129
Polygala senega var. latifolia,Yellowstone,231
Chrysemys picta marginata,Redwood,106
Maianthemum racemosum ssp. racemosum,Yosemite,186
Lysimachia fraseri,Great Smoky Mountains,80
Castor canadensis,Yosemite,191
Cirsium vulgare,Yosemite,146
Digitaria ciliaris,Great Smoky Mountains,87
Plagiobothrys torreyi var. diffusus,Great Smoky Mountains,49
Sambucus canadensis,Yellowstone,274
Myriophyllum sibiricum,Redwood,105
Oenothera fruticosa ssp. fruticosa,Yellowstone,254
Castanea dentata,Redwood,105
Fontinalis flaccida,Yellowstone,263
Cercis occidentalis,Yellowstone,249
Garrya fremontii,Yellowstone,226
Veronica americana,Great Smoky Mountains,33
Lactuca biennis,Redwood,92
Trisetum canescens,Yosemite,158
Ligusticum canbyi,Great Smoky Mountains,90
Ammodramus leconteii,Redwood,81
Ludwigia palustris,Yosemite,157
Mimulus bicolor,Yosemite,136
Lepidium virginicum var. pubescens,Yosemite,137
Arctostaphylos viscida ssp. mariposa,Yellowstone,256
Thalictrum occidentale,Yellowstone,252
Plagiomnium carolinianum,Yosemite,135
Viola rotundifolia,Great Smoky Mountains,100
